,fit
1,0.568603235
2,0.116610095
3,0.071196613
4,0.049631256
5,0.036795161
6,0.028277959
7,0.022252884
8,0.017807972
9,0.014430624
10,0.011807985
11,0.009737224
12,0.008080653
13,0.006741369
14,0.005649189
15,0.004752066
16,0.004010654
17,0.003394722
18,0.002880722
19,0.002450095
20,0.00208807
21,0.001782788
22,0.001524653
23,0.001305852
24,0.001119983
25,0.000961776
26,0.000826871
27,0.000711647
28,0.000613084
29,0.000528656
30,0.000456243
31,0.000394063
32,0.00034061
33,0.000294614
34,0.000254996
35,0.000220842
36,0.000191374
37,0.000165929
38,0.000143942
39,0.000124929
40,0.000108479
41,9.42E-05
42,8.19E-05
43,7.12E-05
44,6.19E-05
45,5.39E-05
46,4.69E-05
47,4.08E-05
48,3.56E-05
49,3.10E-05
50,2.70E-05
51,2.35E-05
52,2.05E-05
53,1.79E-05
54,1.56E-05
55,1.36E-05
56,1.19E-05
57,1.04E-05
58,9.07E-06
59,7.92E-06
60,6.92E-06
61,6.04E-06
62,5.28E-06
63,4.62E-06
64,4.04E-06
65,3.53E-06
66,3.09E-06
67,2.70E-06
68,2.36E-06
69,2.07E-06
70,1.81E-06
71,1.58E-06
72,1.38E-06
73,1.21E-06
74,1.06E-06
75,9.29E-07
76,8.14E-07
77,7.13E-07
78,6.24E-07
79,5.47E-07
80,4.79E-07
81,4.20E-07
82,3.68E-07
83,3.23E-07
84,2.83E-07
85,2.48E-07
86,2.17E-07
87,1.91E-07
88,1.67E-07
89,1.47E-07
90,1.28E-07
91,1.13E-07
92,9.89E-08
93,8.67E-08
94,7.61E-08
95,6.68E-08
96,5.86E-08
97,5.14E-08
98,4.51E-08
99,3.96E-08
100,3.47E-08
