,fit
1,0.640157206
2,0.103520739
3,0.061121168
4,0.041687292
5,0.030399336
6,0.023050773
7,0.017933539
8,0.014208816
9,0.01141184
10,0.009262591
11,0.007581664
12,0.006248593
13,0.005179467
14,0.004314084
15,0.003608207
16,0.003028674
17,0.002550214
18,0.002153292
19,0.001822624
20,0.001546133
21,0.001314184
22,0.001119033
23,0.000954414
24,0.000815221
25,0.000697278
26,0.000597145
27,0.000511984
28,0.000439437
29,0.000377546
30,0.000324671
31,0.000279443
32,0.00024071
33,0.000207502
34,0.000179003
35,0.000154521
36,0.000133472
37,0.000115359
38,9.98E-05
39,8.63E-05
40,7.47E-05
41,6.47E-05
42,5.61E-05
43,4.86E-05
44,4.22E-05
45,3.66E-05
46,3.17E-05
47,2.76E-05
48,2.39E-05
49,2.08E-05
50,1.81E-05
51,1.57E-05
52,1.37E-05
53,1.19E-05
54,1.03E-05
55,9.00E-06
56,7.84E-06
57,6.82E-06
58,5.94E-06
59,5.18E-06
60,4.51E-06
61,3.93E-06
62,3.43E-06
63,2.99E-06
64,2.61E-06
65,2.27E-06
66,1.98E-06
67,1.73E-06
68,1.51E-06
69,1.32E-06
70,1.15E-06
71,1.00E-06
72,8.77E-07
73,7.66E-07
74,6.69E-07
75,5.84E-07
76,5.11E-07
77,4.46E-07
78,3.90E-07
79,3.41E-07
80,2.98E-07
81,2.60E-07
82,2.28E-07
83,1.99E-07
84,1.74E-07
85,1.52E-07
86,1.33E-07
87,1.17E-07
88,1.02E-07
89,8.92E-08
90,7.81E-08
91,6.83E-08
92,5.98E-08
93,5.24E-08
94,4.58E-08
95,4.01E-08
96,3.51E-08
97,3.08E-08
98,2.69E-08
99,2.36E-08
100,2.07E-08
